"@timestamp",message,"kubernetes.pod.name"
"Feb 7, 2024 @ 10:34:55.188","2024-02-07 09:34:55 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:34:54.175","2024-02-07 09:34:54 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:34:53.164","2024-02-07 09:34:53 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:34:52.150","2024-02-07 09:34:52 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:34:51.137","2024-02-07 09:34:51 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:34:50.123","2024-02-07 09:34:50 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:34:49.110","2024-02-07 09:34:49 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:34:48.096","2024-02-07 09:34:48 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:34:47.082","2024-02-07 09:34:47 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:34:46.070","2024-02-07 09:34:46 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:34:45.056","2024-02-07 09:34:45 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:34:44.045","2024-02-07 09:34:44 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:34:43.047","2024-02-07 09:34:43 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:34:42.017","2024-02-07 09:34:42 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:34:41.005","2024-02-07 09:34:41 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:34:39.992","2024-02-07 09:34:39 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:34:38.980","2024-02-07 09:34:38 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:34:37.970","2024-02-07 09:34:37 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:34:36.957","2024-02-07 09:34:36 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:34:35.944","2024-02-07 09:34:35 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:34:34.935","2024-02-07 09:34:34 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:34:33.924","2024-02-07 09:34:33 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:34:32.910","2024-02-07 09:34:32 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:34:31.896","2024-02-07 09:34:31 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:34:30.864","2024-02-07 09:34:30 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:34:29.851","2024-02-07 09:34:29 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:34:28.838","2024-02-07 09:34:28 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:34:27.825","2024-02-07 09:34:27 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:34:26.814","2024-02-07 09:34:26 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:34:25.800","2024-02-07 09:34:25 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:34:24.790","2024-02-07 09:34:24 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:34:23.784","2024-02-07 09:34:23 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:34:22.767","2024-02-07 09:34:22 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:34:21.753","2024-02-07 09:34:21 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:34:20.732","2024-02-07 09:34:20 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:34:19.719","2024-02-07 09:34:19 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:34:18.709","2024-02-07 09:34:18 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:34:17.699","2024-02-07 09:34:17 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:34:16.687","2024-02-07 09:34:16 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:34:15.672","2024-02-07 09:34:15 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:34:14.659","2024-02-07 09:34:14 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:34:13.647","2024-02-07 09:34:13 INFO  Lag:82 - total lag 80",controllerandscaler
"Feb 7, 2024 @ 10:34:12.634","2024-02-07 09:34:12 INFO  Lag:82 - total lag 47",controllerandscaler
"Feb 7, 2024 @ 10:34:11.393","2024-02-07 09:34:11 INFO  Lag:82 - total lag 33",controllerandscaler
"Feb 7, 2024 @ 10:34:10.321","2024-02-07 09:34:10 INFO  Lag:82 - total lag 46",controllerandscaler
"Feb 7, 2024 @ 10:34:09.309","2024-02-07 09:34:09 INFO  Lag:82 - total lag 46",controllerandscaler
"Feb 7, 2024 @ 10:34:08.297","2024-02-07 09:34:08 INFO  Lag:82 - total lag 54",controllerandscaler
"Feb 7, 2024 @ 10:34:07.284","2024-02-07 09:34:07 INFO  Lag:82 - total lag 67",controllerandscaler
"Feb 7, 2024 @ 10:34:06.271","2024-02-07 09:34:06 INFO  Lag:82 - total lag 73",controllerandscaler
"Feb 7, 2024 @ 10:34:05.248","2024-02-07 09:34:05 INFO  Lag:82 - total lag 73",controllerandscaler
"Feb 7, 2024 @ 10:34:04.235","2024-02-07 09:34:04 INFO  Lag:82 - total lag 78",controllerandscaler
"Feb 7, 2024 @ 10:34:03.225","2024-02-07 09:34:03 INFO  Lag:82 - total lag 89",controllerandscaler
"Feb 7, 2024 @ 10:34:02.212","2024-02-07 09:34:02 INFO  Lag:82 - total lag 96",controllerandscaler
"Feb 7, 2024 @ 10:34:01.202","2024-02-07 09:34:01 INFO  Lag:82 - total lag 104",controllerandscaler
"Feb 7, 2024 @ 10:33:59.994","2024-02-07 09:33:59 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:33:58.981","2024-02-07 09:33:58 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:33:57.968","2024-02-07 09:33:57 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:33:56.955","2024-02-07 09:33:56 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:33:55.942","2024-02-07 09:33:55 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:33:54.928","2024-02-07 09:33:54 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:33:53.919","2024-02-07 09:33:53 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:33:52.905","2024-02-07 09:33:52 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:33:51.891","2024-02-07 09:33:51 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:33:50.878","2024-02-07 09:33:50 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:33:49.865","2024-02-07 09:33:49 INFO  Lag:82 - total lag 169",controllerandscaler
"Feb 7, 2024 @ 10:33:48.852","2024-02-07 09:33:48 INFO  Lag:82 - total lag 106",controllerandscaler
"Feb 7, 2024 @ 10:33:47.839","2024-02-07 09:33:47 INFO  Lag:82 - total lag 52",controllerandscaler
"Feb 7, 2024 @ 10:33:46.572","2024-02-07 09:33:46 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:33:45.558","2024-02-07 09:33:45 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:33:44.548","2024-02-07 09:33:44 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:33:43.535","2024-02-07 09:33:43 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:33:42.495","2024-02-07 09:33:42 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:33:41.479","2024-02-07 09:33:41 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:33:40.467","2024-02-07 09:33:40 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:33:39.453","2024-02-07 09:33:39 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:33:38.441","2024-02-07 09:33:38 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:33:37.430","2024-02-07 09:33:37 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:33:36.417","2024-02-07 09:33:36 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:33:35.403","2024-02-07 09:33:35 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:33:34.393","2024-02-07 09:33:34 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:33:33.379","2024-02-07 09:33:33 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:33:32.368","2024-02-07 09:33:32 INFO  Lag:82 - total lag 13",controllerandscaler
"Feb 7, 2024 @ 10:33:31.356","2024-02-07 09:33:31 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:33:30.343","2024-02-07 09:33:30 INFO  Lag:82 - total lag 14",controllerandscaler
"Feb 7, 2024 @ 10:33:29.329","2024-02-07 09:33:29 INFO  Lag:82 - total lag 32",controllerandscaler
"Feb 7, 2024 @ 10:33:28.327","2024-02-07 09:33:28 INFO  Lag:82 - total lag 117",controllerandscaler
"Feb 7, 2024 @ 10:33:27.305","2024-02-07 09:33:27 INFO  Lag:82 - total lag 59",controllerandscaler
"Feb 7, 2024 @ 10:33:26.293","2024-02-07 09:33:26 INFO  Lag:82 - total lag 137",controllerandscaler
"Feb 7, 2024 @ 10:33:25.281","2024-02-07 09:33:25 INFO  Lag:82 - total lag 223",controllerandscaler
"Feb 7, 2024 @ 10:33:24.268","2024-02-07 09:33:24 INFO  Lag:82 - total lag 109",controllerandscaler
"Feb 7, 2024 @ 10:33:23.256","2024-02-07 09:33:23 INFO  Lag:82 - total lag 158",controllerandscaler
"Feb 7, 2024 @ 10:33:22.243","2024-02-07 09:33:22 INFO  Lag:82 - total lag 194",controllerandscaler
"Feb 7, 2024 @ 10:33:21.229","2024-02-07 09:33:21 INFO  Lag:82 - total lag 240",controllerandscaler
"Feb 7, 2024 @ 10:33:20.215","2024-02-07 09:33:20 INFO  Lag:82 - total lag 208",controllerandscaler
"Feb 7, 2024 @ 10:33:19.201","2024-02-07 09:33:19 INFO  Lag:82 - total lag 252",controllerandscaler
"Feb 7, 2024 @ 10:33:18.188","2024-02-07 09:33:18 INFO  Lag:82 - total lag 260",controllerandscaler
"Feb 7, 2024 @ 10:33:17.174","2024-02-07 09:33:17 INFO  Lag:82 - total lag 264",controllerandscaler
"Feb 7, 2024 @ 10:33:16.163","2024-02-07 09:33:16 INFO  Lag:82 - total lag 262",controllerandscaler
"Feb 7, 2024 @ 10:33:15.150","2024-02-07 09:33:15 INFO  Lag:82 - total lag 260",controllerandscaler
